defense,accuracy,acc_reduction,f1_macro,mean_bytes,overhead_x
undefended,0.956,0.0,0.954,46643,1.0
agg batch=2,0.94,0.016,0.936,44799,0.96
agg batch=4,0.936,0.02,0.934,44928,0.96
agg batch=8,0.944,0.012,0.944,44672,0.96
pad rand=128,0.912,0.044,0.912,54788,1.17
pad rand=256,0.932,0.024,0.93,55066,1.18
pad rand=512,0.936,0.02,0.937,54902,1.18
pad fixed=1500,0.932,0.024,0.931,54631,1.17
pad fixed=2048,0.936,0.02,0.934,54714,1.17
cbr burst,0.02,0.936,0.001,41704,0.89
cbr 512/20ms,0.02,0.936,0.001,42296,0.91
