temperature,tpq,accuracy,f1_macro
0.3,5,0.804,0.7953568653568653
0.3,10,0.912,0.9068369408369408
0.3,20,0.936,0.9327720057720057
0.3,30,0.968,0.9663535353535353
0.6,5,0.58,0.5656047841047841
0.6,10,0.792,0.7825558885558885
0.6,20,0.884,0.8795497835497835
0.6,30,0.92,0.9173477633477632
0.8,5,0.584,0.5635395715395716
0.8,10,0.724,0.7167518037518037
0.8,20,0.868,0.862180375180375
0.8,30,0.884,0.879165945165945
1.0,5,0.488,0.4683111888111888
1.0,10,0.624,0.6036212676212677
1.0,20,0.768,0.759150183150183
1.0,30,0.812,0.8072475302475302
